,회사명,거래소코드,회계년도,토빈Q
388,(주)금양,001570,2013,0.9789822042636187
389,(주)금양,001570,2014,1.070107057115842
390,(주)금양,001570,2015,1.1054810611839547
391,(주)금양,001570,2016,1.4176852446208201
392,(주)금양,001570,2017,1.2455824084441511
393,(주)금양,001570,2018,1.134857833361061
394,(주)금양,001570,2019,1.16653260965646
395,(주)금양,001570,2020,1.8449895592581098
396,(주)금양,001570,2021,1.369791055965595
397,(주)금호에이치티,214330,2015,1.11369568155471
398,(주)금호에이치티,214330,2016,0.8304703660079519
399,(주)금호에이치티,214330,2017,0.7274746936684334
400,(주)금호에이치티,214330,2018,0.9662278298231459
401,(주)금호에이치티,214330,2019,0.86621137195091
402,(주)금호에이치티,214330,2020,1.2744579024051708
403,(주)금호에이치티,214330,2021,1.1546844455604486
404,(주)금화피에스시,036190,2013,1.538794782205269
405,(주)금화피에스시,036190,2014,1.9736079568094462
406,(주)금화피에스시,036190,2015,1.3188593547786318
407,(주)금화피에스시,036190,2016,1.2001899336575228
408,(주)금화피에스시,036190,2017,1.2893148398214622
409,(주)금화피에스시,036190,2018,0.8527443252824336
410,(주)금화피에스시,036190,2019,0.7725905745612813
411,(주)금화피에스시,036190,2020,0.7264655918607147
412,(주)금화피에스시,036190,2021,0.7535668320864639
413,(주)기가레인,049080,2013,1.069426621290467
414,(주)기가레인,049080,2014,1.9413560142279427
415,(주)기가레인,049080,2015,1.156974461333491
416,(주)기가레인,049080,2016,1.2135823012049745
417,(주)기가레인,049080,2017,1.2851291494120414
418,(주)기가레인,049080,2018,1.1886361040885332
419,(주)기가레인,049080,2019,1.4016831313497682
420,(주)기가레인,049080,2020,2.2219755479287118
421,(주)기가레인,049080,2021,2.2067986041265617
422,(주)기산텔레콤,035460,2011,0.9623260306889548
423,(주)기산텔레콤,035460,2012,0.9318276681543075
424,(주)기산텔레콤,035460,2013,0.8882974578940732
425,(주)기산텔레콤,035460,2014,0.8352745509618447
426,(주)기산텔레콤,035460,2015,1.1043778062479386
427,(주)기산텔레콤,035460,2016,1.1378719620339979
428,(주)기산텔레콤,035460,2017,1.1300128714606639
429,(주)기산텔레콤,035460,2018,1.143862261723558
430,(주)기산텔레콤,035460,2019,0.9393710119258408
431,(주)기산텔레콤,035460,2020,1.054583464152477
432,(주)기산텔레콤,035460,2021,1.030721913761464
433,(주)까스텔바작,308100,2019,0.8236984216326281
434,(주)까스텔바작,308100,2020,0.8447597041463866
435,(주)까스텔바작,308100,2021,1.0114196141989718
436,(주)나노,187790,2015,1.0175540097470792
437,(주)나노,187790,2016,1.2163637295117822
438,(주)나노,187790,2017,0.9852364330680325
439,(주)나노,187790,2018,0.871966891583922
440,(주)나노,187790,2019,0.9006768693051233
441,(주)나노,187790,2020,0.8856377258536106
442,(주)나노,187790,2021,1.1527853466022822
443,(주)나노브릭,286750,2019,2.347336812017306
444,(주)나노신소재,121600,2011,2.1189930951030953
445,(주)나노신소재,121600,2012,1.5052309931763153
446,(주)나노신소재,121600,2013,2.053130700143905
447,(주)나노신소재,121600,2014,1.6940321821503264
448,(주)나노신소재,121600,2015,3.137084744407177
449,(주)나노신소재,121600,2016,1.9637688397042958
450,(주)나노신소재,121600,2017,2.0621139883618804
451,(주)나노신소재,121600,2018,1.62980605530293
452,(주)나노신소재,121600,2019,1.7615237693165895
453,(주)나노신소재,121600,2020,3.8512443004485117
454,(주)나노신소재,121600,2021,6.1082629142502665
