회사명,거래소코드,회계년도,[제조]   연구비(연결),[제조]   경상개발비(연결),[제조]매출액(영업수익)(*)
(주)금빛,045890,2020/12,0,0,37324969
(주)금양,001570,2011/12,0,0,100918699
(주)금양,001570,2012/12,0,0,108275608
(주)금양,001570,2013/12,0,0,132045280
(주)금양,001570,2014/12,0,0,137946044
(주)금양,001570,2015/12,0,0,152450369
(주)금양,001570,2016/12,0,1179679,161001876
(주)금양,001570,2017/12,0,1270946,150809075
(주)금양,001570,2018/12,0,1784753,151676398
(주)금양,001570,2019/12,0,1657038,135915020
(주)금양,001570,2020/12,0,912203,120928396
(주)금양,001570,2021/12,0,1329662,175521044
(주)금오하이텍,165270,2013/12,,,36700608
(주)금오하이텍,165270,2014/12,,,36690702
(주)금오하이텍,165270,2015/12,,,41157381
(주)금오하이텍,165270,2016/12,0,368804,48149302
(주)금호에이치티,214330,2015/12,0,2897625,181779820
(주)금호에이치티,214330,2016/12,0,597537,189733826
(주)금호에이치티,214330,2017/12,0,626592,165485490
(주)금호에이치티,214330,2018/12,0,664412,189250383
(주)금호에이치티,214330,2019/12,0,735081,221734443
(주)금호에이치티,214330,2020/12,0,893154,181173914
(주)금호에이치티,214330,2021/12,0,2372879,197311760
(주)금화피에스시,036190,2011/12,,,82738193
(주)금화피에스시,036190,2012/12,,,108224285
(주)금화피에스시,036190,2013/12,0,0,156630832
(주)금화피에스시,036190,2014/12,0,0,166948026
(주)금화피에스시,036190,2015/12,0,0,196919865
(주)금화피에스시,036190,2016/12,0,128850,201547339
(주)금화피에스시,036190,2017/12,0,54223,174993150
(주)금화피에스시,036190,2018/12,0,4629,202098199
(주)금화피에스시,036190,2019/12,0,0,179177462
(주)금화피에스시,036190,2020/12,0,0,205790146
(주)금화피에스시,036190,2021/12,0,0,205982209
(주)기가레인,049080,2013/12,0,0,94055571
(주)기가레인,049080,2014/12,0,0,95460665
(주)기가레인,049080,2015/12,0,0,61254807
(주)기가레인,049080,2016/12,0,0,70397030
(주)기가레인,049080,2017/12,0,14834,89874499
(주)기가레인,049080,2018/12,0,80588,114668638
(주)기가레인,049080,2019/12,0,317437,63361399
(주)기가레인,049080,2020/12,0,232207,37870890
(주)기가레인,049080,2021/12,0,335768,68973683
(주)기산텔레콤,035460,2011/12,0,4635742,36332290
(주)기산텔레콤,035460,2012/12,0,3037124,49240507
(주)기산텔레콤,035460,2013/12,0,3145895,48367030
(주)기산텔레콤,035460,2014/12,0,3403739,41612762
(주)기산텔레콤,035460,2015/12,0,3398280,45712905
(주)기산텔레콤,035460,2016/12,0,3146742,24679656
