회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),배당금_현금,[제조]      장기차입금(*)(IFRS연결),[제조]매출액증가율(IFRS연결)
(주)구영테크,053270,2020/12,211767320,18178378,740336,33810192,-14.81
(주)구영테크,053270,2021/12,222891436,17241006,740336,31976127,3.43
(주)국동,005320,2011/12,68162305,-963482,,3733250,1.4
(주)국동,005320,2012/12,65808287,4976107,,3349103,-10.45
(주)국동,005320,2013/12,73040609,-2405589,,2680065,7.01
(주)국동,005320,2014/12,89271398,-12910,,4982487,25.85
(주)국동,005320,2015/12,93758552,3908416,,5536937,-8.49
(주)국동,005320,2016/12,124126720,747703,,3885476,15.9
(주)국동,005320,2017/12,106307080,-6827943,,5584962,-2.92
(주)국동,005320,2018/12,123134702,-3944667,,4762632,14.59
(주)국동,005320,2019/12,133723726,3901005,,4484958,1.61
(주)국동,005320,2020/12,180700682,25978507,1931490,3202541,13.6
(주)국동,005320,2021/12,168474551,-25316837,,5415900,-10.44
(주)국보,001140,2011/12,98869465,3249944,50000,2731635,10.01
(주)국보,001140,2012/12,98494841,-3613866,50000,2835446,-6.35
(주)국보,001140,2013/12,98315386,2809735,50365,4832876,-4.31
(주)국보,001140,2014/12,91005502,-238084,50365,4802814,-16.7
(주)국보,001140,2015/12,83085438,-837022,50365,3599269,-6.05
(주)국보,001140,2016/12,81308887,507314,,2927219,-4.68
(주)국보,001140,2017/12,73270170,-3103505,,3532843,-10.39
(주)국보,001140,2018/12,48188113,-6078157,,737525,-8.57
(주)국보,001140,2019/12,115356448,-9899692,,907586,24.51
(주)국보,001140,2020/12,90823631,-10627275,,95875,23.39
(주)국보,001140,2021/12,102314952,2033468,,3254197,-11.9
(주)국보디자인,066620,2011/12,80200900,15461768,1430000,0,11.37
(주)국보디자인,066620,2012/12,92877548,15200794,1500000,0,-8.64
(주)국보디자인,066620,2013/12,127902185,20298063,1725000,0,36.95
