회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)경동인베스트,012320,2011/12,941176098,90136711,3832000,14732383,40.11
(주)경동인베스트,012320,2012/12,1168400020,154970428,4355000,13350519,33.09
(주)경동인베스트,012320,2013/12,1161427092,54868445,4354986,12355917,10.83
(주)경동인베스트,012320,2014/12,1101071366,16430931,4354986,11523080,-9.93
(주)경동인베스트,012320,2015/12,926392697,-32486622,4354986,13017117,-43.63
(주)경동인베스트,012320,2016/12,903818865,32578235,4150078,13267953,-24.51
(주)경동인베스트,012320,2017/12,318031347,49566809,1136564,0,-99.94
(주)경동인베스트,012320,2018/12,318776653,1728544,1136564,0,1118.23
(주)경동인베스트,012320,2019/12,316572482,1024556,1129116,0,15.82
(주)경동인베스트,012320,2020/12,306973265,-5782743,1090176,0,-10.88
(주)경동인베스트,012320,2021/12,306026123,823547,1635264,0,15.14
(주)경방,000050,2011/12,1331930968,-11592653,,51339915,-0.71
(주)경방,000050,2012/12,1301719900,27341666,,280141533,-3.75
(주)경방,000050,2013/12,1261257414,50395794,623075,258404523,-0.24
(주)경방,000050,2014/12,1275008413,29566345,1370764,0,-2.95
(주)경방,000050,2015/12,1259512344,44076364,3426909,210000000,19.75
(주)경방,000050,2016/12,1237024388,61707854,4934749,185000000,1.99
(주)경방,000050,2017/12,1199063663,51272565,4934749,0,-8.21
(주)경방,000050,2018/12,1226545382,29443002,3371475,130000000,-3.13
(주)경방,000050,2019/12,1296265431,65270564,3301909,120000000,-9.15
(주)경방,000050,2020/12,1212393834,46548127,3251909,30000000,-10.84
(주)경방,000050,2021/12,1214189554,-6107441,3130605,100000000,20.2
(주)경보제약,214390,2015/12,195488457,4240142,6574386,5000000,4.86
(주)경보제약,214390,2016/12,203735980,25328803,4781372,0,4.88
(주)경보제약,214390,2017/12,204869399,25805146,5976715,451100,2.64
(주)경보제약,214390,2018/12,221622993,-1138159,4781372,451100,5.05
(주)경보제약,214390,2019/12,237816742,23668111,2390686,405000,-4.79
(주)경보제약,214390,2020/12,253239177,20795227,2390686,315000,12.3
(주)경보제약,214390,2021/12,236979153,17967903,1195343,225000,-20.73
(주)경인양행,012610,2011/12,245825940,10022891,1845000,13856450,-13.62
(주)경인양행,012610,2012/12,241045608,14914670,1796000,0,9.79
(주)경인양행,012610,2013/12,274570963,-1601346,1942820,0,29.58
(주)경인양행,012610,2014/12,267331084,15097174,1951320,10000000,3.98
(주)경인양행,012610,2015/12,273778266,-1240907,1951820,0,-8.08
(주)경인양행,012610,2016/12,290035389,8421999,1976820,0,2.43
(주)경인양행,012610,2017/12,296909084,652491,1984320,8000000,8.2
(주)경인양행,012610,2018/12,344908257,911833,2007820,16133260,14.79
(주)경인양행,012610,2019/12,381063538,-2222389,2034338,24357240,10.14
(주)경인양행,012610,2020/12,386097816,37263507,2058838,36031933,-12.59
(주)경인양행,012610,2021/12,462114130,1344530,2073838,25600000,28.85
(주)고려시멘트,198440,2014/12,,,,,
(주)고려시멘트,198440,2015/12,,,,,
(주)고려시멘트,198440,2016/12,,,,,
(주)고려시멘트,198440,2017/12,115881620,3161867,1596156,2285714,0
(주)고려시멘트,198440,2018/12,127536833,1728759,1119299,914286,-2.15
(주)고려시멘트,198440,2019/12,127035573,2862239,479699,0,-17.32
(주)고려시멘트,198440,2020/12,115337527,7962781,479699,0,-1.04
(주)고려시멘트,198440,2021/12,146783492,13352545,479699,0,-6.43
(주)고바이오랩,348150,2020/12,55675224,-9402492,,0,0
(주)고바이오랩,348150,2021/12,100242225,-5186956,,0,-36.98
(주)고영테크놀러지,098460,2011/12,87017886,12776648,1725000,0,12.63
(주)고영테크놀러지,098460,2012/12,103019642,10610309,1775000,0,25.67
(주)고영테크놀러지,098460,2013/12,121329325,12177046,3134472,0,3.12
(주)고영테크놀러지,098460,2014/12,141873467,23831965,3988511,0,30.4
(주)고영테크놀러지,098460,2015/12,160170850,15161650,3990461,0,2.23
(주)고영테크놀러지,098460,2016/12,194332855,17957289,5333015,0,10.61
(주)고영테크놀러지,098460,2017/12,205696350,7492877,9160000,0,23.28
(주)고영테크놀러지,098460,2018/12,279985447,44999013,8787061,0,16.35
(주)고영테크놀러지,098460,2019/12,308020011,26124765,7428890,0,-4.7
(주)고영테크놀러지,098460,2020/12,303115486,37199067,7436040,0,-25.02
(주)고영테크놀러지,098460,2021/12,366774976,43040625,8112044,6133000,46.52
(주)골드앤에스,035290,2011/12,46347129,8673653,,0,-5.87
(주)골드앤에스,035290,2012/12,51062616,2427629,,0,-7.65
(주)골드앤에스,035290,2013/12,34508798,-2348440,,0,-16.59
(주)골드앤에스,035290,2014/12,28884288,-462082,,0,-19.61
(주)골드앤에스,035290,2015/12,23597566,2167956,,0,-24.57
(주)골드앤에스,035290,2016/12,18296141,1667960,,0,-28.4
(주)골드앤에스,035290,2017/12,16994788,-940910,,0,-19.45
(주)골드앤에스,035290,2018/12,42472631,-2810496,,0,-32.19
(주)골드앤에스,035290,2020/12,20634172,-498313,,0,-45.85
(주)골드앤에스,035290,2021/12,26144813,2035559,,0,226.35
(주)골드퍼시픽,038530,2011/12,27473520,1749769,,0,4.84
(주)골드퍼시픽,038530,2012/12,29861540,-4543789,,0,-6.64
(주)골드퍼시픽,038530,2013/12,30517744,-4333969,,300000,-38.15
(주)골드퍼시픽,038530,2014/12,31936409,-5423532,,240063,-25.18
(주)골드퍼시픽,038530,2015/12,27495738,-7136666,,149996,26.08
(주)골드퍼시픽,038530,2016/12,11122066,-6549921,,0,56.63
(주)골드퍼시픽,038530,2017/12,26567967,-878680,,0,-47.52
(주)골드퍼시픽,038530,2018/12,37288362,-2028216,,5440000,10.92
(주)골드퍼시픽,038530,2019/12,72945743,-3541143,,0,102.89
(주)골드퍼시픽,038530,2020/12,71420104,3314523,,0,26.6
(주)골드퍼시픽,038530,2021/12,87388934,-1119507,,0,-39.16
(주)골프존,215000,2015/12,171629353,41872803,25089880,15000000,
(주)골프존,215000,2016/12,177635830,32717567,10035952,7499970,0
(주)골프존,215000,2017/12,239011847,79436410,15053928,9166650,-12.7
(주)골프존,215000,2018/12,254578679,34481459,11604070,833330,11.47
(주)골프존,215000,2019/12,304860836,38567865,12858564,0,24.78
(주)골프존,215000,2020/12,348043074,84563964,15681175,0,17.56
(주)골프존,215000,2021/12,453214136,125602419,21953645,0,47.06
(주)골프존뉴딘홀딩스,121440,2011/12,373246120,46694787,9443000,0,13.82
(주)골프존뉴딘홀딩스,121440,2012/12,512614848,73950383,14164000,0,31.72
(주)골프존뉴딘홀딩스,121440,2013/12,589946855,72616582,14739628,0,23.04
(주)골프존뉴딘홀딩스,121440,2014/12,586599347,30858148,18355220,0,13.84
(주)골프존뉴딘홀딩스,121440,2015/12,585663015,-16346800,24800337,24000000,-92.41
(주)골프존뉴딘홀딩스,121440,2016/12,561892958,5618275,5002827,40000000,-5.91
(주)골프존뉴딘홀딩스,121440,2017/12,536244772,-1147880,5002827,16000000,-15.02
(주)골프존뉴딘홀딩스,121440,2018/12,563387103,-4416464,5002827,10000000,-31.49
(주)골프존뉴딘홀딩스,121440,2019/12,537526345,2640435,5002827,54200000,67.06
(주)골프존뉴딘홀딩스,121440,2020/12,562128924,5223949,5002827,54200000,113.7
(주)골프존뉴딘홀딩스,121440,2021/12,702771959,6789765,5986288,12321360,39.42
(주)광림,014200,2011/12,86353051,11879861,606000,277562,13.98
(주)광림,014200,2012/12,89766075,2753017,,206386,-19.88
(주)광림,014200,2013/12,101592603,14536213,,2280310,21.24
(주)광림,014200,2014/12,120284256,-3582919,,4942101,-10.53
(주)광림,014200,2015/12,146338755,-2663712,,2593514,156.31
(주)광림,014200,2016/12,152080347,3288372,,313681,-63.2
(주)광림,014200,2017/12,369582323,8658598,,562200,13.88
(주)광림,014200,2018/12,236379465,1251490,,1900000,-24.07
(주)광림,014200,2019/12,193568854,639491,,1400000,23.51
(주)광림,014200,2020/12,234833331,18881193,,0,11.81
(주)광림,014200,2021/12,272822325,5421907,,0,31.37
(주)광명전기,017040,2011/12,99992644,1814521,,425000,-15.07
(주)광명전기,017040,2012/12,104218586,1183806,,325000,36.83
(주)광명전기,017040,2013/12,105483729,615721,,225000,13.9
(주)광명전기,017040,2014/12,119791644,8403184,,0,28.18
(주)광명전기,017040,2015/12,107719518,13723720,,0,-19.69
(주)광명전기,017040,2016/12,125405290,2813219,,0,4.23
(주)광명전기,017040,2017/12,128881408,5270038,,0,8.41
(주)광명전기,017040,2018/12,124159091,-4019510,,0,-7.74
(주)광명전기,017040,2019/12,140591786,23614371,650064,0,28.94
