회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]부채(*)(IFRS연결),산술평균,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),주식의 종류
(주)강원랜드,035250,2013/12,3102036846,584340350,31490,213940500,90
(주)강원랜드,035250,2013/12,3102036846,584340350,31490,213940500,10
(주)강원랜드,035250,2014/12,3375127289,669769805,31738,213940500,10
(주)강원랜드,035250,2014/12,3375127289,669769805,31738,213940500,90
(주)강원랜드,035250,2015/12,3690791830,693036625,39471,213940500,90
(주)강원랜드,035250,2015/12,3690791830,693036625,39471,213940500,10
(주)강원랜드,035250,2016/12,3978987574,726260115,36864,213940500,10
(주)강원랜드,035250,2016/12,3978987574,726260115,36864,213940500,90
(주)강원랜드,035250,2017/12,4185657487,684421554,36318,213940500,90
(주)강원랜드,035250,2017/12,4185657487,684421554,36318,213940500,10
(주)강원랜드,035250,2018/12,4231241354,644464265,32771,213940500,10
(주)강원랜드,035250,2018/12,4231241354,644464265,32771,213940500,90
(주)강원랜드,035250,2019/12,4438119306,720360229,29863,213940500,10
(주)강원랜드,035250,2019/12,4438119306,720360229,29863,213940500,90
(주)강원랜드,035250,2020/12,3641632201,394603621,23421,213940500,10
(주)강원랜드,035250,2020/12,3641632201,394603621,23421,0,20
(주)강원랜드,035250,2020/12,3641632201,394603621,23421,213940500,90
(주)강원랜드,035250,2021/12,3827273464,574480852,23982,213940500,90
(주)강원랜드,035250,2021/12,3827273464,574480852,23982,0,20
(주)강원랜드,035250,2021/12,3827273464,574480852,23982,213940500,10
(주)강원에너지,114190,2011/11,,,4268,5300000,90
(주)강원에너지,114190,2011/11,,,4268,5300000,10
(주)강원에너지,114190,2011/12,,,4338,5300000,10
(주)강원에너지,114190,2011/12,,,4338,5300000,90
(주)강원에너지,114190,2012/12,,,4688,10600000,10
(주)강원에너지,114190,2012/12,,,4688,2066826,20
(주)강원에너지,114190,2012/12,,,4688,12666826,90
(주)강원에너지,114190,2013/12,,,2214,12666826,90
(주)강원에너지,114190,2013/12,,,2214,0,20
(주)강원에너지,114190,2013/12,,,2214,12666826,10
(주)강원에너지,114190,2014/12,,,2260,14390962,10
(주)강원에너지,114190,2014/12,,,2260,14390962,90
(주)강원에너지,114190,2014/12,,,2260,0,20
(주)강원에너지,114190,2015/12,85457457,28873556,2769,0,20
(주)강원에너지,114190,2015/12,85457457,28873556,2769,15253030,90
(주)강원에너지,114190,2015/12,85457457,28873556,2769,15253030,10
(주)강원에너지,114190,2016/12,77186606,22097916,2564,15253030,10
(주)강원에너지,114190,2016/12,77186606,22097916,2564,15253030,90
(주)강원에너지,114190,2016/12,77186606,22097916,2564,0,20
(주)강원에너지,114190,2017/12,93179394,44876384,2516,15253030,10
(주)강원에너지,114190,2017/12,93179394,44876384,2516,15253030,90
(주)강원에너지,114190,2017/12,93179394,44876384,2516,0,20
(주)강원에너지,114190,2018/12,93845576,43641869,2807,15366896,90
(주)강원에너지,114190,2018/12,93845576,43641869,2807,15366896,10
(주)강원에너지,114190,2018/12,93845576,43641869,2807,0,20
(주)강원에너지,114190,2019/12,56602063,35477506,3775,17443674,10
(주)강원에너지,114190,2019/12,56602063,35477506,3775,17443674,90
(주)강원에너지,114190,2019/12,56602063,35477506,3775,0,20
(주)강원에너지,114190,2020/12,32968636,15872298,2500,0,20
(주)강원에너지,114190,2020/12,32968636,15872298,2500,18154911,10
(주)강원에너지,114190,2020/12,32968636,15872298,2500,18154911,90
(주)강원에너지,114190,2021/12,,,2500,0,20
(주)강원에너지,114190,2021/12,,,2500,26123038,10
(주)강원에너지,114190,2021/12,,,2500,26123038,90
(주)갤럭시아에스엠,011420,2011/12,45110356,19836339,1763,19622424,10
(주)갤럭시아에스엠,011420,2011/12,45110356,19836339,1763,19622424,90
(주)갤럭시아에스엠,011420,2012/12,43979072,18071820,1579,19622424,90
(주)갤럭시아에스엠,011420,2012/12,43979072,18071820,1579,19622424,10
(주)갤럭시아에스엠,011420,2013/12,37636664,16143563,2082,19622424,10
(주)갤럭시아에스엠,011420,2013/12,37636664,16143563,2082,19622424,90
(주)갤럭시아에스엠,011420,2014/12,45274078,22068570,1645,19622424,10
(주)갤럭시아에스엠,011420,2014/12,45274078,22068570,1645,19622424,90
(주)갤럭시아에스엠,011420,2015/12,68686992,18947950,3556,27549644,10
(주)갤럭시아에스엠,011420,2015/12,68686992,18947950,3556,27549644,90
(주)갤럭시아에스엠,011420,2016/12,58444606,13597774,2041,27549644,90
(주)갤럭시아에스엠,011420,2016/12,58444606,13597774,2041,27549644,10
(주)갤럭시아에스엠,011420,2017/12,49831109,9336773,2953,27549644,10
(주)갤럭시아에스엠,011420,2017/12,49831109,9336773,2953,27549644,90
(주)갤럭시아에스엠,011420,2018/12,33253331,6781168,1659,27549644,10
