,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,자기자본순이익률,광고선전비대매출액비율,비유동비율,당좌비율,현금비율,부채비율,이자보상배율(이자비용),유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
5021,1,500,1987/06/08,쇠퇴기,제조업,2013,가온전선(주),-0.04,1.0699999999999985,539789322.0,10836606.0,12.14,-1.17,1.75,-10.79,30.42,92.01,0.73,0.93,3.27,0.0,89.59,161.54,22.54,99.99,3.24,12.05,59.4,49000.0,0.6460842021361808,-1.2107132856743972,0.0,4.339830716270698,37.62,11.45,61.0
5022,0,500,1987/06/08,쇠퇴기,제조업,2014,가온전선(주),-0.03,-4.870000000000001,511258653.0,520493.0,-0.76,-8.95,-2.56,-0.97,-41.26,860.9023444180505,-130.91,-0.06,-0.13,0.0,91.04,140.29,14.3,93.97,2.06,11.74,56.0,47000.0,0.6891600355544496,-1.3571069955075346,0.0,-4.294615703533459,37.62,5.7,61.0
5023,0,500,1987/06/08,쇠퇴기,제조업,2016,가온전선(주),-0.0199999999999999,0.2099999999999999,519225689.0,2286445.0,-1.97,1.22,0.7,-4.03,70.08,89.87,240.21,0.53,1.46,0.0,88.34,125.67,21.11,96.25,4.49,11.79,67.87,56000.0,0.6709227051129205,-1.4004587916339712,0.0,-0.3467402328439321,37.62,4.49,61.0
5024,0,500,1987/06/08,도입기,제조업,2017,가온전선(주),0.03,0.3399999999999998,538955918.0,841734.0,5.87,2.1,-1.71,11.68,-53.19,-63.48,-137.51,0.17,0.54,0.0,95.14,116.04,10.66,107.2,2.34,11.58,61.22,58000.0,0.6874434563755918,0.4286206971100532,0.0,3.638909362381229,37.62,4.83,61.0
5025,0,500,1987/06/08,성숙기,제조업,2018,가온전선(주),0.03,0.0599999999999996,526494275.0,363095.0,0.48,-4.69,0.11,0.44,-34.21,-93.24,45.22930641330159,0.01,0.04,0.0,95.49,145.5,19.37,102.18,1.37,11.59,59.24,56000.0,0.6429937672370701,-0.5634231917623843,0.0,-2.3375652910815257,37.62,4.89,61.0
5026,1,500,1987/06/08,쇠퇴기,제조업,2019,가온전선(주),-0.05,0.4500000000000002,512573535.0,5858884.0,-0.35,-4.7,-0.95,-1.24,37.61,860.9023444180505,-116.25,0.66,2.12,0.0,96.52,123.57,3.74,99.66,2.46,11.41,58.96,61000.0,0.6900246239712707,-1.2052018913579907,0.0,-2.748294717190217,46.39,5.34,61.0
5027,0,860,1975/11/16,성숙기,제조업,2013,강남제비스코(주),-16.43,1.6900000000000004,460559150.0,23054749.0,7.61,14.76,11.72,4.15,23.92,41.02,60.33,11.65,11.58,0.3,69.9,291.54,157.36,25.79,139.34,55.33,90.97,42933.0,0.5978822524750621,-0.6856138139486059,0.0,10.639830716270698,51.86,4.74,61.0
5028,1,860,1975/11/16,성숙기,제조업,2014,강남제비스코(주),0.07,2.66,490785440.0,26900728.0,7.12,5.86,9.17,-2.33,4.93,-4.11,-12.16,11.44,10.06,0.31,68.58,325.55,139.58,22.78,285.46,60.5,98.2,45050.0,0.771626845735277,-1.4072629409662318,0.0,7.55538429646654,51.1,7.4,61.0
5029,0,860,1975/11/16,성숙기,제조업,2015,강남제비스코(주),-0.1,0.2199999999999997,522260145.0,26066569.0,5.61,7.43,8.83,-12.79,0.1,4.47,3.37,13.7,9.64,0.34,66.55,386.6,145.71,20.05,264.46,65.93,118.49,44922.0,0.6356725631437949,-1.5429916012103724,0.0,6.199252752634891,50.97,7.62,61.0
5030,0,860,1975/11/16,성숙기,제조업,2016,강남제비스코(주),0.25,1.5499999999999998,560934377.0,22368899.0,10.41,3.67,6.71,-1.22,-1.93,-13.85,-15.34,11.95,7.71,0.43,68.86,353.99,136.42,20.83,287.41,67.93,122.52,48032.0,0.5843291522851344,-1.3036095212974588,0.0,7.303259767156068,50.97,9.17,61.0
