,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화
409,(주)국영지앤엠,006050,2019/12,3.5,-0.27
410,(주)국영지앤엠,006050,2020/12,-3.8000000000000003,-0.13000000000000034
411,(주)국영지앤엠,006050,2021/12,39.800000000000004,1.71
412,(주)국전약품,307750,2018/12,-41.0,-4.45
413,(주)국전약품,307750,2019/12,9.8,-0.1
414,(주)국전약품,307750,2020/12,-9.8,0.01
415,(주)국전약품,307750,2021/12,41.0,0.86
416,(주)그래디언트,035080,2011/12,-32.400000000000006,2.9499999999999997
417,(주)그래디언트,035080,2012/12,-3.6000000000000005,-2.55
418,(주)그래디언트,035080,2013/12,27.2,15.3
419,(주)그래디언트,035080,2014/12,-30.7,8.559999999999999
420,(주)그래디언트,035080,2015/12,-1.5,7.220000000000002
421,(주)그래디언트,035080,2016/12,-0.1,-6.16
422,(주)그래디언트,035080,2017/12,9.9,-0.8300000000000018
423,(주)그래디언트,035080,2018/12,-5.0,-4.759999999999998
424,(주)그래디언트,035080,2019/12,-3.6,-4.870000000000001
