,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화,상장일,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,산업분류,1인년간평균급여(직원),토빈Q,target,WW지수,RDS,수명주기,산업평균_총자산증가율차분,대주주지분율,외국인지분율,업력,predict,상장협 산업분류 코드(대분류),기업규모명,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P,내용
8622,(주)비츠로테크,42370,2020,-5.6,0.64,2000-08-03,409764042.0,3582225,-1.95,29.05,14.63,-1.72,-11.05,10.76,19.23,9.01,7.13,11.11,79.09,0.2,1423.66,73.14,228.55,182.57,63.67,46.81,32.23,19.18,18.4,65.27,22.94,129.41,"전문, 과학 및 기술 서비스업",47000,0.816371542,1,-0.863098833,0.006453988,성장기,11.36728932,59.39,2.21,52,0.0,130000,중견기업,1165771,32.54320988,,,,,,,,,
8623,(주)비츠로테크,42370,2021,0.9,-1.61,2000-08-03,455378213.0,3490346,2.37,19.83,16.97,5.27,-21.61,-32.02,-20.33,7.29,5.46,6.52,80.32,0.17,1495.59,66.06,254.61,203.72,36.76,43.94,30.59,16.4,11.91,66.87,23.24,135.05,"전문, 과학 및 기술 서비스업",51000,0.810670537,1,0.044722871,0.018542288,성장기,11.02570417,60.19,0.6,53,0.0,130000,중견기업,1310001,37.53212432,,,,,,,,,
8624,(주)비트컴퓨터,32850,2020,-8.53,-1.03,1997-07-04,70551353.0,6587167,24.84,-7.81,11.46,-0.25,-10.12,-8.72,-4.96,17.37,9.73,12.49,71.23,0.85,572.99,90.55,205.82,202.24,85.87,29.06,18.71,10.85,28.09,67.5,5.73,132.7,정보통신업,46004,3.141207826,0,-0.689711145,0.019800659,성숙기,12.78728932,25.33,1.9,32,0.0,100000,중소기업,1003247,15.23032587,,,,,,,,,
8625,(주)비트컴퓨터,32850,2021,-3.33,-0.52,1997-07-04,71731829.0,4765238,-7.59,23.46,7.36,-2.28,17.41,-25.21,-26.02,13.43,6.88,8.54,65.96,0.91,620.55,77.56,317.58,316.96,95.91,21.63,13.88,10.24,42.37,72.3,6.24,149.61,정보통신업,47923,2.529337514,1,-0.010148398,0.019411074,성숙기,1.565704168,25.34,1.38,33,0.0,100000,중소기업,1003860,21.066314,,,,,,,,,
8626,(주)빅솔론,93190,2020,5.89,2.48,2007-08-20,164821405.0,5139653,-24.44,9.57,1.03,-12.24,-56.35,-41.68,-24.52,7.51,3.4,3.8,71.87,1.25,1632.76,22.49,1026.89,817.17,395.66,11.39,8.66,1.2,61.92,95.29,16.33,200.15,제조업,70000,0.626448733,0,-1.365488208,0.0,쇠퇴기,0.317289323,40.88,10.31,18,0.0,30000,중소기업,2458830,47.84038922,,,,,,,,,
8627,(주)빅텍,65450,2020,2.66,-3.02,2003-02-05,112734681.0,2948377,7.0,28.48,30.35,37.38,21.14,48.92,46.62,4.38,2.86,6.39,88.98,0.0,815.78,71.89,140.06,110.23,8.05,115.73,102.7,3.17,164.9,41.47,8.16,151.39,제조업,49000,2.323711393,0,0.462540699,0.0,도입기,20.29728932,30.3,1.48,24,0.0,30000,중소기업,0,0.0,,,,,,,,,
8628,(주)빅텍,65450,2021,-3.23,0.94,2003-02-05,92867616.0,5264507,0.81,-26.83,11.55,52.28,125.57,78.56,114.45,5.14,5.12,9.52,88.11,0.0,917.22,64.96,191.61,77.45,11.11,59.31,49.24,1.19,351.59,56.6,9.17,79.74,제조업,52000,2.002287777,0,3.061931507,4.08e-05,쇠퇴기,-17.72429583,26.35,2.42,25,0.0,30000,중소기업,859584,16.32791067,,,,,,,,,
8629,(주)빙그레,5180,2020,-2.66,-1.24,1978-08-31,764138445.0,40702482,56.84,-19.7,3.22,9.2,-12.96,-15.06,-18.05,3.64,4.81,6.01,72.81,4.07,1130.02,74.43,257.55,213.77,65.06,29.62,21.43,2.14,144.9,73.58,11.3,71.85,제조업,56628,0.944495763,1,-0.682686205,0.005335364,성숙기,11.44728932,40.89,25.41,53,0.0,30000,중견기업,14146882,34.75680427,,,,,,,,,
8630,(주)사람인에이치알,143240,2020,0.57,2.49,2012-02-21,145552427.0,19437370,6.15,15.61,12.11,2.92,-11.82,-14.72,-15.69,22.45,15.65,18.4,0.0,3.53,2145.25,49.46,440.82,440.82,67.18,16.39,15.18,0.62,550.71,86.15,21.51,107.57,정보통신업,46739,2.275011568,1,-0.610740844,0.0,성숙기,11.26728932,47.69,26.18,15,0.0,100000,중견기업,6631260,34.11603525,,,,,,,,,
8631,(주)사조대림,3960,2020,-8.24,-0.04,1976-09-01,1124142190.0,23128767,0.25,11.92,12.58,29.21,-0.3,-59.02,-56.79,2.1,3.29,10.02,88.08,0.2,765.03,141.57,97.62,49.55,14.63,148.91,109.95,81.18,4.85,39.56,9.7,57.65,제조업,43000,0.729966304,0,0.003791694,0.0,성숙기,4.847289323,47.43,0.85,56,0.0,30000,중견기업,1470752,6.358972789,,,,,,,,,
