,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
1244,1,27410,2014/05/19,성숙기,"전문, 과학 및 기술 서비스업",2016,(주)비지에프,-4.2,-0.4399999999999999,111267358.0,5011213.0,-14.89,11.79,-4.09,-2.31,-23.13,-6.83,-129.44,2.01,4.34,6.34,95.89,0.0,2080.35,92.15,128.24,115.44,1.61,43.88,40.34,0.0,42.23,68.01,20.8,34.05,46916.0,0.7443350288590478,-1.3385065914163965,0.0,-5.90461570353346,51.34,0.17,4.0
1245,0,27410,2014/05/19,쇠퇴기,"전문, 과학 및 기술 서비스업",2018,(주)비지에프,-0.19,0.0199999999999999,104729475.0,4345006.0,-12.53,5.97,2.18,-6.67,-18.36,-13.29,45.22930641330159,1.87,4.02,5.56,96.05,0.0,2126.8,78.88,179.43,162.11,31.84,32.53,29.9,0.0,101.16,73.87,21.27,36.49,50964.0,0.7681591350954448,-1.2581790031089315,0.0,-6.090747247365109,50.24,0.19,5.0
1246,0,27410,2014/05/19,성숙기,"전문, 과학 및 기술 서비스업",2019,(주)비지에프,32.93,-1.7300000000000002,108004671.0,3096810.0,-6.4,-10.19,-2.35,-2.26,-36.57,-18.66,-131.25,1.55,2.75,3.81,96.41,0.0,2162.53,76.26,176.5,152.87,38.8,34.46,32.97,0.0,33256.53,72.83,21.63,43.48,53000.0,0.7072514085339883,-0.0005830796138907,0.0,-8.24109063761877,44.28,1.39,7.0
1247,0,282330,2017/12/08,성숙기,도매 및 소매업,2018,(주)비지에프리테일,-33.35,0.1100000000000001,104074639.0,1062236.0,-5.97,-0.59,-4.49,5.74,-45.87,-65.7,45.22930641330159,0.5,1.0,1.35,96.98,0.0,2063.32,75.09,179.4,148.92,46.4,35.67,33.77,0.0,67.21,72.11,20.63,42.33,55000.0,0.6574739252566613,-0.3122721888332108,0.0,-3.6675652910815257,43.97,1.5,8.0
1248,1,282330,2017/12/08,성숙기,도매 및 소매업,2019,(주)비지에프리테일,-29.76,0.0699999999999999,92065464.0,2372640.0,3.38,4.24,5.055,0.0,49.37068527315937,860.9023444180505,45.22930641330159,-2.46,-1.29,2.0,92.8,0.01,763.91,112.88,117.94,117.67,10.89,60.64,40.5,37.81,-4.61,58.63,11.13,184.03,46315.0,0.6407750033172048,-1.235358960548525,0.0,0.9953842964665406,61.13,0.18,29.0
1249,1,126600,2010/11/12,성장기,제조업,2013,(주)비지에프에코머티리얼즈,-31.370000000000005,-0.1999999999999993,131699689.0,9201339.0,48.25,-1.5,13.04,6.66,-10.52,-25.38,-27.97,8.63,8.82,14.96,78.88,0.0,1123.42,98.52,143.83,123.18,38.97,72.35,51.33,29.77,17.75,53.34,11.39,94.05,44000.0,0.9995033169744236,-1.0368809477342331,0.0,22.87538429646654,50.43,14.08,22.0
1250,1,126600,2010/11/12,성장기,제조업,2014,(주)비지에프에코머티리얼즈,-1.55,-2.4399999999999995,136556800.0,7026473.0,2.11,5.79,9.34,-3.08,-25.59,-16.91,-11.69,7.0,6.2,11.19,78.84,0.0,1244.52,92.69,168.89,145.35,32.62,64.65,42.61,31.65,11.66,56.53,12.52,111.75,46000.0,0.8571913958147819,-1.147542737209298,0.0,3.47925275263489,50.43,11.64,23.0
1251,1,126600,2010/11/12,성장기,제조업,2015,(주)비지에프에코머티리얼즈,2.31,-0.1400000000000005,134352058.0,5580889.0,-10.83,10.25,6.77,-4.63,-19.12,15.35,-6.77,8.86,7.41,11.95,80.62,0.0,1350.69,77.82,208.45,185.48,53.38,52.52,35.83,26.44,11.12,62.0,13.51,114.94,49000.0,0.9925330953992532,-1.363318041658505,0.0,-1.7167402328439323,50.76,11.5,24.0
1252,0,126600,2010/11/12,성장기,제조업,2016,(주)비지에프에코머티리얼즈,-0.2199999999999999,0.2,253730129.0,4711630.0,1.94,8.11,3.57,3.52,73.89,12.03,12.03,3.73,2.76,3.92,91.34,0.09,2207.65,75.97,170.27,79.3,17.26,47.68,42.11,33.99,8.54,64.96,23.55,116.4,38000.0,0.5600075267371972,-0.6768098463294646,0.0006937696037477,4.809830716270698,54.12,0.22,27.0
1253,0,126600,2010/11/12,성장기,제조업,2017,(주)비지에프에코머티리얼즈,-0.2,1.11,250683121.0,5391696.0,5.44,-8.24,4.37,1.92,49.96,24.44,24.44,4.75,3.52,4.69,88.91,0.04,2308.38,76.47,191.63,89.8,19.69,39.28,32.78,27.23,19.49,69.01,24.71,109.87,40000.0,0.5719910236796517,-1.2299191601379045,0.0006877965072304,-0.2046157035334593,54.12,1.33,28.0
1254,0,126600,2010/11/12,쇠퇴기,제조업,2018,(주)비지에프에코머티리얼즈,0.0,-1.11,294144485.0,2004431.0,23.92,9.33,2.16,-7.42,-29.63,-44.08,-43.4,3.11,1.98,2.54,89.92,0.05,2360.41,92.49,129.09,59.42,20.19,59.52,51.92,35.22,13.98,60.31,25.34,138.57,36000.0,0.6241935081665733,-1.3260973648035668,0.000859279436916,17.12925275263489,54.12,0.22,29.0
1255,0,126600,2010/11/12,성숙기,제조업,2019,(주)비지에프에코머티리얼즈,-9.99,-4.720000000000001,406187489.0,5432303.0,5.26,21.84,6.38,8.92,-12.74,-27.63,-27.11,7.06,4.49,6.48,81.33,0.05,3204.13,87.24,139.15,86.22,29.32,51.37,46.09,31.98,11.26,64.34,37.34,131.21,38000.0,0.6160827198692966,-0.2554676459110792,0.0127263656557891,11.672434708918471,54.12,6.09,32.0
1256,0,82920,2009/10/28,성숙기,제조업,2014,(주)비츠로셀,28.46,-1.91,390222792.0,9554796.0,-9.97,4.29,8.51,-0.49,-21.78,32.01,25.72,9.72,5.94,7.95,82.56,0.07,3485.15,74.48,306.96,205.78,93.84,37.9,20.66,21.99,6.67,70.73,39.43,131.1,40000.0,0.5241654106149699,-1.1757130743842956,0.0158810812396813,-4.038294717190216,54.12,4.18,33.0
